"filename", "language", "Markdown", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "XML", "CSS", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\todoSlice.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\userSlice.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\types.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 3, 26
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\tsconfig.node.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 29
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\config\database.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\1-20240304175853-create-user.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 1, 1, 52
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\2-20240304175947-create-room.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 0, 40
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\3-20240304180036-create-pet.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 1, 61
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\4-20240304180118-create-order.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 1, 72
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\5-20240305103954-create-room-image.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 1, 39
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\6-20240305104011-create-pet-image.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 1, 40
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\7-20240305154554-create-post.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 0, 52
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\8-20240305154616-create-post-image.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\9-20240307152058-create-comment.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 2, 48
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\comment.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\index.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\order.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\pet.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\petimage.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
